source,target,weight
diasdelluvia,efectos,1
diasdelluvia,efectoscluster,1
diasdelluvia,pedaloftheday,1
efectos,efectoscluster,1
efectos,pedaloftheday,1
efectoscluster,pedaloftheday,1
bahraingp,f1,2
bahraingp,leclerc,1
bahraingp,russell,1
bahraingp,sainz,1
bahraingp,stroll,1
bahraingp,vettel,1
f1,leclerc,1
f1,russell,1
f1,sainz,1
f1,stroll,1
f1,vettel,1
leclerc,russell,1
leclerc,sainz,1
leclerc,stroll,1
leclerc,vettel,1
russell,sainz,1
russell,stroll,1
russell,vettel,1
sainz,stroll,1
sainz,vettel,1
stroll,vettel,1
bigass,onlyfans,1
bigass,onlyfansgirl,1
bigass,rt,1
bigass,suscribete,1
onlyfans,onlyfansgirl,1
onlyfans,rt,2
onlyfans,suscribete,1
onlyfansgirl,rt,1
onlyfansgirl,suscribete,1
rt,suscribete,1
avz,buensábado,1
noticieros,qepd,1
ikiaşıkkalp,sençalkapımı,8
fedua,fisu,1
buensabado,lluviadebendiciones,1
lg,samsung,1
lg,springer,1
samsung,springer,1
retweet,sabadodeganarseguidores,1
retweet,siguemeytesigo,1
sabadodeganarseguidores,siguemeytesigo,1
ad10s,diegoeterno,4
caretas,maradona,1
maradona,modocarrera,2
grindetti,lanus,1
d10s,maradona,1
allblacks,respect,1
covid,hf,2
hf,hf,1
fifa21,maradona,1
fifa21,modocarrera,1
buenosaires,corrientes,1
buenosaires,córdoba,1
buenosaires,entreríos,1
buenosaires,santafe,1
buenosaires,tucumán,1
corrientes,córdoba,1
corrientes,entreríos,1
corrientes,santafe,1
corrientes,tucumán,1
córdoba,entreríos,1
córdoba,santafe,1
córdoba,tucumán,1
entreríos,santafe,1
entreríos,tucumán,1
santafe,tucumán,1
derrotasdignas,lospumas,1
asoka,rosariodawson,1
albon,bahraingp,1
albon,bottas,1
albon,f1,1
albon,hamilton,1
albon,perez,1
albon,verstappen,1
bahraingp,bottas,1
bahraingp,hamilton,1
bahraingp,perez,1
bahraingp,verstappen,1
bottas,f1,1
bottas,hamilton,1
bottas,perez,1
bottas,verstappen,1
f1,hamilton,1
f1,perez,1
f1,verstappen,1
hamilton,perez,1
hamilton,verstappen,1
perez,verstappen,1
amorporloscolores,elmillotraslados,1
amorporloscolores,hinchasderiver,1
amorporloscolores,riverplate,1
amorporloscolores,soyderiver,1
elmillotraslados,hinchasderiver,1
elmillotraslados,riverplate,1
elmillotraslados,soyderiver,1
hinchasderiver,riverplate,1
hinchasderiver,soyderiver,1
riverplate,soyderiver,1
amigos,friends,1
amigos,risa,1
amigos,sanadora,1
amigos,tiktok,1
friends,risa,1
friends,sanadora,1
friends,tiktok,1
risa,sanadora,1
risa,tiktok,1
sanadora,tiktok,1
argentina,córdoba,8
argentina,ríocuarto,8
córdoba,ríocuarto,8
10argentinomundial,algomás,1
10argentinomundial,año2020,1
algomás,año2020,1
federicogarcialorca,sabado,1
aniversario,nuestros,1
aniversario,somosaahba,1
aniversario,somostodos,1
nuestros,somosaahba,1
nuestros,somostodos,1
somosaahba,somostodos,1
